Month;M3;M6;Y1;Y2;Y3;Y5;Y7;Y10
2014-12;0.03;0.11;0.21;0.64;1.06;1.64;1.98;2.21
2015-01;0.03;0.08;0.2;0.55;0.9;1.37;1.67;1.88
2015-02;0.02;0.07;0.22;0.62;0.99;1.47;1.79;1.98
2015-03;0.03;0.11;0.25;0.64;1.02;1.52;1.84;2.04
2015-04;0.02;0.09;0.23;0.54;0.87;1.35;1.69;1.94
2015-05;0.02;0.08;0.24;0.61;0.98;1.54;1.93;2.2
2015-06;0.02;0.09;0.28;0.69;1.07;1.68;2.1;2.36
2015-07;0.03;0.12;0.3;0.67;1.03;1.63;2.04;2.32
2015-08;0.07;0.22;0.38;0.7;1.03;1.54;1.91;2.17
2015-09;0.02;0.18;0.37;0.71;1.01;1.49;1.88;2.17
2015-10;0.02;0.11;0.26;0.64;0.93;1.39;1.76;2.07
2015-11;0.13;0.33;0.48;0.88;1.2;1.67;2.02;2.26
2015-12;0.23;0.5;0.65;0.98;1.28;1.7;2.04;2.24
2016-01;0.26;0.43;0.54;0.9;1.14;1.52;1.85;2.09
2016-02;0.31;0.45;0.53;0.73;0.9;1.22;1.53;1.78
2016-03;0.3;0.47;0.66;0.88;1.04;1.38;1.68;1.89
2016-04;0.23;0.37;0.56;0.77;0.92;1.26;1.57;1.81
2016-05;0.28;0.42;0.59;0.82;0.97;1.3;1.6;1.81
2016-06;0.27;0.4;0.55;0.73;0.86;1.17;1.44;1.64
2016-07;0.3;0.4;0.51;0.67;0.79;1.07;1.33;1.5
2016-08;0.3;0.45;0.57;0.74;0.85;1.13;1.4;1.56
2016-09;0.29;0.47;0.59;0.77;0.9;1.18;1.46;1.63
2016-10;0.33;0.48;0.66;0.84;0.99;1.27;1.56;1.76
2016-11;0.45;0.58;0.74;0.98;1.22;1.6;1.93;2.14
2016-12;0.51;0.64;0.87;1.2;1.49;1.96;2.29;2.49
2017-01;0.52;0.62;0.83;1.21;1.48;1.92;2.23;2.43
2017-02;0.53;0.65;0.82;1.2;1.47;1.9;2.22;2.42
2017-03;0.75;0.89;1.01;1.31;1.59;2.01;2.3;2.48
2017-04;0.81;0.95;1.04;1.24;1.44;1.82;2.1;2.3
2017-05;0.9;1.04;1.12;1.3;1.48;1.84;2.11;2.3
2017-06;1;1.11;1.2;1.34;1.49;1.77;2.01;2.19
2017-07;1.09;1.13;1.22;1.37;1.54;1.87;2.13;2.32
2017-08;1.03;1.13;1.23;1.34;1.48;1.78;2.03;2.21
2017-09;1.05;1.17;1.28;1.38;1.51;1.8;2.03;2.2
2017-10;1.09;1.25;1.4;1.55;1.68;1.98;2.2;2.36
2017-11;1.25;1.39;1.56;1.7;1.81;2.05;2.23;2.35
2017-12;1.34;1.5;1.7;1.84;1.96;2.18;2.32;2.4
2018-01;1.43;1.62;1.8;2.03;2.15;2.38;2.51;2.58
2018-02;1.59;1.79;1.96;2.18;2.36;2.6;2.78;2.86
2018-03;1.73;1.92;2.06;2.28;2.42;2.63;2.77;2.84
2018-04;1.79;1.98;2.15;2.38;2.52;2.7;2.82;2.87
2018-05;1.9;2.07;2.27;2.51;2.66;2.82;2.93;2.98
2018-06;1.94;2.11;2.33;2.53;2.65;2.78;2.87;2.91
2018-07;1.99;2.17;2.39;2.61;2.7;2.78;2.85;2.89
2018-08;2.07;2.24;2.45;2.64;2.71;2.77;2.84;2.89
2018-09;2.17;2.34;2.56;2.77;2.84;2.89;2.96;3
2018-10;2.29;2.46;2.65;2.86;2.94;3;3.09;3.15
2018-11;2.37;2.52;2.7;2.86;2.91;2.95;3.04;3.12
2018-12;2.41;2.54;2.66;2.68;2.67;2.68;2.75;2.83
2019-01;2.42;2.51;2.58;2.54;2.52;2.54;2.61;2.71
2019-02;2.44;2.5;2.55;2.5;2.48;2.49;2.57;2.68
2019-03;2.45;2.51;2.49;2.41;2.37;2.37;2.47;2.57
2019-04;2.43;2.46;2.42;2.34;2.31;2.33;2.43;2.53
2019-05;2.4;2.42;2.34;2.21;2.16;2.19;2.29;2.4
2019-06;2.22;2.17;2;1.81;1.78;1.83;1.95;2.07
2019-07;2.15;2.08;1.96;1.84;1.8;1.83;1.93;2.06
2019-08;1.99;1.93;1.77;1.57;1.51;1.49;1.55;1.63
2019-09;1.93;1.89;1.8;1.65;1.59;1.57;1.64;1.7
2019-10;1.68;1.67;1.61;1.55;1.53;1.53;1.62;1.71
2019-11;1.57;1.59;1.57;1.61;1.61;1.64;1.74;1.81
2019-12;1.57;1.58;1.55;1.61;1.63;1.68;1.79;1.86
2020-01;1.55;1.56;1.53;1.52;1.52;1.56;1.67;1.76
2020-02;1.54;1.51;1.41;1.33;1.31;1.32;1.42;1.5
2020-03;0.3;0.3;0.33;0.45;0.5;0.59;0.78;0.87
2020-04;0.14;0.17;0.18;0.22;0.28;0.39;0.55;0.66
2020-05;0.13;0.15;0.16;0.17;0.22;0.34;0.53;0.67
2020-06;0.16;0.18;0.18;0.19;0.22;0.34;0.55;0.73
2020-07;0.13;0.14;0.15;0.15;0.17;0.28;0.46;0.62
2020-08;0.1;0.12;0.13;0.14;0.16;0.27;0.46;0.65
2020-09;0.11;0.12;0.13;0.13;0.16;0.27;0.46;0.68
2020-10;0.1;0.11;0.13;0.15;0.19;0.34;0.55;0.79
2020-11;0.09;0.1;0.12;0.17;0.22;0.39;0.63;0.87
2020-12;0.09;0.09;0.1;0.14;0.19;0.39;0.66;0.93
2021-01;0.08;0.09;0.1;0.13;0.2;0.45;0.77;1.08
2021-02;0.04;0.06;0.07;0.12;0.21;0.54;0.91;1.26
2021-03;0.03;0.05;0.08;0.15;0.32;0.82;1.27;1.61
2021-04;0.02;0.04;0.06;0.16;0.35;0.86;1.31;1.64
2021-05;0.02;0.04;0.05;0.16;0.32;0.82;1.28;1.62
2021-06;0.04;0.05;0.07;0.2;0.39;0.84;1.23;1.52
2021-07;0.05;0.05;0.08;0.22;0.4;0.76;1.07;1.32
2021-08;0.05;0.06;0.07;0.22;0.42;0.77;1.06;1.28
2021-09;0.04;0.05;0.08;0.24;0.47;0.86;1.16;1.37
2021-10;0.05;0.06;0.11;0.39;0.67;1.11;1.4;1.58
2021-11;0.05;0.07;0.18;0.51;0.82;1.2;1.45;1.56
2021-12;0.06;0.15;0.3;0.68;0.95;1.23;1.4;1.47
2022-01;0.15;0.33;0.55;0.98;1.25;1.54;1.7;1.76
2022-02;0.31;0.64;1;1.44;1.65;1.81;1.91;1.93
2022-03;0.45;0.86;1.34;1.91;2.09;2.11;2.15;2.13
2022-04;0.76;1.26;1.89;2.54;2.72;2.78;2.8;2.75
